id1,id2,dor
0,4000,1
1,4001,1
2,4002,1
3,4003,1
4,4004,1
5,4005,1
6,4006,1
7,4007,1
8,4008,1
9,4009,1
10,4010,1
11,4011,1
12,4012,1
13,4013,1
14,4014,1
15,4015,1
16,4016,1
17,4017,1
18,4018,1
19,4019,1
20,4020,1
21,4021,1
22,4022,1
23,4023,1
24,4024,1
25,4025,1
26,4026,1
27,4027,1
28,4028,1
29,4029,1
30,4030,1
31,4031,1
32,4032,1
33,4033,1
34,4034,1
35,4035,1
36,4036,1
37,4037,1
38,4038,1
39,4039,1
40,4040,1
41,4041,1
42,4042,1
43,4043,1
44,4044,1
45,4045,1
46,4046,1
47,4047,1
48,4048,1
49,4049,1
50,4050,1
51,4051,1
52,4052,1
53,4053,1
54,4054,1
55,4055,1
56,4056,1
57,4057,1
58,4058,1
59,4059,1
60,4060,1
61,4061,1
62,4062,1
63,4063,1
64,4064,1
65,4065,1
66,4066,1
67,4067,1
68,4068,1
69,4069,1
70,4070,1
71,4071,1
72,4072,1
73,4073,1
74,4074,1
75,4075,1
76,4076,1
77,4077,1
78,4078,1
79,4079,1
80,4080,1
81,4081,1
82,4082,1
83,4083,1
84,4084,1
85,4085,1
86,4086,1
87,4087,1
88,4088,1
89,4089,1
90,4090,1
91,4091,1
92,4092,1
93,4093,1
94,4094,1
95,4095,1
96,4096,1
97,4097,1
98,4098,1
99,4099,1
100,4100,1
101,4101,1
102,4102,1
103,4103,1
104,4104,1
105,4105,1
106,4106,1
107,4107,1
108,4108,1
109,4109,1
110,4110,1
111,4111,1
112,4112,1
113,4113,1
114,4114,1
115,4115,1
116,4116,1
117,4117,1
118,4118,1
119,4119,1
120,4120,1
121,4121,1
122,4122,1
123,4123,1
124,4124,1
125,4125,1
126,4126,1
127,4127,1
128,4128,1
129,4129,1
130,4130,1
131,4131,1
132,4132,1
133,4133,1
134,4134,1
135,4135,1
136,4136,1
137,4137,1
138,4138,1
139,4139,1
140,4140,1
141,4141,1
142,4142,1
143,4143,1
144,4144,1
145,4145,1
146,4146,1
147,4147,1
148,4148,1
149,4149,1
150,4150,1
151,4151,1
152,4152,1
153,4153,1
154,4154,1
155,4155,1
156,4156,1
157,4157,1
158,4158,1
159,4159,1
160,4160,1
161,4161,1
162,4162,1
163,4163,1
164,4164,1
165,4165,1
166,4166,1
167,4167,1
168,4168,1
169,4169,1
170,4170,1
171,4171,1
172,4172,1
173,4173,1
174,4174,1
175,4175,1
176,4176,1
177,4177,1
178,4178,1
179,4179,1
180,4180,1
181,4181,1
182,4182,1
183,4183,1
184,4184,1
185,4185,1
186,4186,1
187,4187,1
188,4188,1
189,4189,1
190,4190,1
191,4191,1
192,4192,1
193,4193,1
194,4194,1
195,4195,1
196,4196,1
197,4197,1
198,4198,1
199,4199,1
200,4200,1
201,4201,1
202,4202,1
203,4203,1
204,4204,1
205,4205,1
206,4206,1
207,4207,1
208,4208,1
209,4209,1
210,4210,1
211,4211,1
212,4212,1
213,4213,1
214,4214,1
215,4215,1
216,4216,1
217,4217,1
218,4218,1
219,4219,1
220,4220,1
221,4221,1
222,4222,1
223,4223,1
224,4224,1
225,4225,1
226,4226,1
227,4227,1
228,4228,1
229,4229,1
230,4230,1
231,4231,1
232,4232,1
233,4233,1
234,4234,1
235,4235,1
236,4236,1
237,4237,1
238,4238,1
239,4239,1
240,4240,1
241,4241,1
242,4242,1
243,4243,1
244,4244,1
245,4245,1
246,4246,1
247,4247,1
248,4248,1
249,4249,1
250,4250,1
251,4251,1
252,4252,1
253,4253,1
254,4254,1
255,4255,1
256,4256,1
257,4257,1
258,4258,1
259,4259,1
260,4260,1
261,4261,1
262,4262,1
263,4263,1
264,4264,1
265,4265,1
266,4266,1
267,4267,1
268,4268,1
269,4269,1
270,4270,1
271,4271,1
272,4272,1
273,4273,1
274,4274,1
275,4275,1
276,4276,1
277,4277,1
278,4278,1
279,4279,1
280,4280,1
281,4281,1
282,4282,1
283,4283,1
284,4284,1
285,4285,1
286,4286,1
287,4287,1
288,4288,1
289,4289,1
290,4290,1
291,4291,1
292,4292,1
293,4293,1
294,4294,1
295,4295,1
296,4296,1
297,4297,1
298,4298,1
299,4299,1
300,4300,1
301,4301,1
302,4302,1
303,4303,1
